ticker,rs_ratio,rs_momentum,quadrant,heading,angle_deg,distance,delta_distance,straightness,tail_r2,quadrant_run,pred_excess,rrg_score,tercile,hit_1M_pct,n_bucket,R,mean_loss,bucket_mean,bucket_std,baseline_hit,sector_etf,sector,setup
O,99.7678043532129,99.11485095628088,Lagging,N,103.33641411357979,1.2393526695908839,-2.3793423611151487,0.8125171842676757,0.9143567034068123,8.0,0.0011899799192949512,85.71428571428571,,,,,,,,,XLRE,Real Estate,Deteriorating — avoid
WY,99.0413378054428,99.84533828719422,Lagging,N,76.04096119348196,2.5412905469075318,0.4546526420953483,0.7059345229646167,0.8512947037291375,17.0,0.0007902194189372229,80.95238095238095,,,,,,,,,XLRE,Real Estate,Lagging
AMT,98.51622471245597,100.41365493301427,Improving,W,-162.62322554962645,2.8405347577576836,0.957161757747059,0.5915389526777983,0.792481309438031,20.0,3.4960936681661925e-05,76.19047619047619,,,,,,,,,XLRE,Real Estate,Improving -> potential leader
EXR,99.7299768477939,100.64575237068365,Improving,NE,50.86006419128751,1.4869720792134258,-1.2974825118262312,0.9897454719832771,0.9975407583436935,4.0,-0.001119452514283812,71.42857142857143,,,,,,,,,XLRE,Real Estate,Improving
CCI,98.16235768371983,100.03561224750953,Improving,SW,-119.00411183161067,2.8099885654257357,0.09758499493299055,0.6383761187881319,0.9854917937468769,14.0,-0.0011217332489571624,66.66666666666667,,,,,,,,,XLRE,Real Estate,Improving -> potential leader
HST,102.12089177788474,99.85520846156098,Weakening,NE,43.93697511567807,3.4862753161197992,1.610981706907233,0.7178377882873319,0.9158102953209796,2.0,-0.0011739537888721524,61.904761904761905,,,,,,,,,XLRE,Real Estate,Weakening
CSGP,98.57188759437085,100.52688301910854,Improving,E,17.266146711555667,1.2589224931340364,-0.39018611317180785,0.8698168307716655,0.9557001736286396,15.0,-0.0012368750147038151,57.142857142857146,,,,,,,,,XLRE,Real Estate,Improving
ESS,100.91597848193936,101.79374744126731,Leading,E,19.173713604384485,2.4383942873776605,0.0317743526227976,0.920041976409911,0.9968097895104716,6.0,-0.001431597308693051,52.38095238095238,,,,,,,,,XLRE,Real Estate,Established leader
CBRE,98.66994234876736,99.99506195455055,Lagging,N,69.68835840602387,1.3432832941807828,0.07232252644187187,0.9248405054118212,0.9477759401922322,20.0,-0.0014630340121593866,47.61904761904762,,,,,,,,,XLRE,Real Estate,Lagging
FRT,101.88866480843286,98.65854408589402,Weakening,S,-85.28018220431981,2.0807504176662954,0.34839865312459706,0.7183722209521977,0.8949236397681412,15.0,-0.001546503064466822,42.857142857142854,,,,,,,,,XLRE,Real Estate,Weakening
REG,100.78038579553638,99.35751310060849,Weakening,SW,-115.67715284380026,1.6791210440724624,-0.2478075014294734,0.384379473727573,0.9708648257556189,10.0,-0.0015594251870663062,38.095238095238095,,,,,,,,,XLRE,Real Estate,Deteriorating — avoid
PLD,100.64377048822735,99.27329367300301,Weakening,W,-164.15067993405833,1.0793707390544296,-0.2021358885240132,0.6561739985244298,0.9713889162573033,28.0,-0.0017904887811741638,33.333333333333336,,,,,,,,,XLRE,Real Estate,Deteriorating — avoid
CPT,99.99892295101571,101.177733991568,Improving,NE,25.775308603033313,1.4237117960761811,-0.6109020595667725,0.984101306323626,0.9974721477307827,9.0,-0.0018084033070321025,28.571428571428573,,,,,,,,,XLRE,Real Estate,Improving
SPG,101.89152731137466,100.48839430150674,Leading,NE,33.24949562400309,4.751856735733683,2.6460831410325247,0.9851697230622282,0.9970502994769712,4.0,-0.002285801573082861,23.80952380952381,,,,,,,,,XLRE,Real Estate,Established leader
VICI,98.27354143865416,100.50082937782726,Improving,SW,-125.90070234766982,1.49771755660426,-0.026829038862305365,0.7249023382203007,0.9825214337220926,19.0,-0.002560761771547737,19.047619047619047,,,,,,,,,XLRE,Real Estate,Improving
DLR,100.06866728684636,98.48338169859603,Weakening,SW,-122.89697740012245,2.9950987535778997,0.22760113070559918,0.969871128677293,0.9983814286663605,7.0,-0.00268667939768595,14.285714285714286,,,,,,,,,XLRE,Real Estate,Weakening
EQIX,101.02058709297978,99.02184095653776,Weakening,SW,-116.6826340994372,1.8724870742884934,-0.16647061482215464,0.9627669789090688,0.9895626439048697,8.0,-0.003429481168923703,9.523809523809524,,,,,,,,,XLRE,Real Estate,Deteriorating — avoid
IRM,101.32620822113878,99.4082358084974,Weakening,SW,-121.37818865188808,1.8720941957867276,-0.4655692242380012,0.983672381482297,0.9939674962200281,4.0,-0.0034354756525184606,4.761904761904762,,,,,,,,,XLRE,Real Estate,Deteriorating — avoid
PSA,101.42656138122584,100.94531933768181,Leading,NE,47.68009781357042,1.7963350686647188,1.5518106200783666,0.9218331736512058,0.9804171304728336,9.0,-0.003955727901246708,0.0,,,,,,,,,XLRE,Real Estate,Established leader
SPGI,98.63970399238876,100.294117420974,Improving,E,4.6791815226045,4.752355107129606,0.5070294123976202,0.3691269683487302,0.586636974399195,10.0,0.002391566522566153,100.0,3.0,51.314071699542474,3126.0,1.0939727184501356,-0.04304093712133273,0.0031755877085083784,0.07738335134091863,52.39195302724035,XLF,Financials,Improving -> potential leader
NTRS,101.65774811174468,99.47140244757811,Weakening,E,18.530297897239656,9.249419539068917,2.9252595178273753,0.37261902979393224,0.7276168213776039,16.0,0.0023464458286873956,98.18181818181819,3.0,53.03536360798581,5250.0,1.0468605347091906,-0.04941421422671261,0.004240272210961832,0.07271842815186852,52.39195302724035,XLF,Financials,Weakening
BNY,101.7252239636114,99.24262890662678,Weakening,S,-108.83998987759634,21.511509810963208,6.919803781927577,0.591894568331568,0.830920461122592,5.0,0.0015643636129869987,96.36363636363636,3.0,53.03536360798581,5250.0,1.0468605347091906,-0.04941421422671261,0.004240272210961832,0.07271842815186852,52.39195302724035,XLF,Financials,Weakening
PGR,99.27121761545601,100.37863338660507,Improving,W,167.78734723156828,2.627218723867218,1.098268378474341,0.37264084245389306,0.6559280069282847,41.0,0.0010043422228276251,94.54545454545455,3.0,51.314071699542474,3126.0,1.0939727184501356,-0.04304093712133273,0.0031755877085083784,0.07738335134091863,52.39195302724035,XLF,Financials,Improving -> potential leader
IBKR,101.60055181900282,99.91831972138142,Weakening,SW,-143.66265150383222,7.007972988120528,-0.8815141060760769,0.48299420731187437,0.8847390162097015,1.0,0.0008228566935347268,92.72727272727273,3.0,53.03536360798581,5250.0,1.0468605347091906,-0.04941421422671261,0.004240272210961832,0.07271842815186852,52.39195302724035,XLF,Financials,Deteriorating — avoid
C,101.3365375578979,99.39866863556057,Weakening,E,2.2380552836711667,11.156388835976509,7.094149398627285,0.3019485952281903,0.8778048286282623,43.0,0.0006764410727860554,90.9090909090909,3.0,53.03536360798581,5250.0,1.0468605347091906,-0.04941421422671261,0.004240272210961832,0.07271842815186852,52.39195302724035,XLF,Financials,Weakening
TRV,101.73469547225012,99.85097730939421,Weakening,NE,65.12398277491326,2.5545668740337866,-0.09555441280907573,0.28110264861682643,0.9646100266306836,11.0,0.0006347199175340646,89.0909090909091,2.0,52.0339723294016,5057.0,1.1007194470889248,-0.042144005177124605,0.003916824549739748,0.06144996988849634,52.39195302724035,XLF,Financials,Deteriorating — avoid
WTW,98.68316435063903,100.6219070225666,Improving,NE,38.02594557556182,3.8112454161917255,-1.5643666078616554,0.8768895398431298,0.946819909593888,2.0,0.0006267908750153142,87.27272727272727,3.0,51.314071699542474,3126.0,1.0939727184501356,-0.04304093712133273,0.0031755877085083784,0.07738335134091863,52.39195302724035,XLF,Financials,Improving
JKHY,98.37959978680814,99.50324926052521,Lagging,NE,49.77101799831377,2.7870074160445717,0.7886118626216068,0.36370605625817576,0.9070076955235572,20.0,0.0006185314866887607,85.45454545454545,3.0,53.25943617895717,2888.0,1.3037894829349883,-0.04159311951612105,0.009469808744402055,0.08126126281448078,52.39195302724035,XLF,Financials,Lagging
CPAY,101.03081740193286,100.34268870126157,Leading,N,74.35312660360086,0.8798718186053534,0.16536148961719865,0.16235189217895188,0.931565603168548,22.0,0.0005912369442043165,83.63636363636364,1.0,50.93040317154903,4725.0,1.0211271269418642,-0.03927426679468423,0.0011288607932141005,0.056255580399601775,52.39195302724035,XLF,Financials,Leading
BX,98.90157391539859,100.27745145214286,Improving,S,-84.30314609611757,2.7533961052396148,-1.6045641468075953,0.240399827028561,0.9650185403547459,12.0,0.0005728568016788586,81.81818181818181,3.0,51.314071699542474,3126.0,1.0939727184501356,-0.04304093712133273,0.0031755877085083784,0.07738335134091863,52.39195302724035,XLF,Financials,Improving
FDS,99.3915301995099,100.36302060970766,Improving,E,-17.85077869788207,1.3990988831594253,-1.3477701016106634,0.9197616463820469,0.9737859572153929,39.0,0.0005302288827811687,80.0,1.0,51.41753025552863,4372.0,1.104584928866809,-0.04049457020075182,0.003306645956797711,0.06473280439591757,52.39195302724035,XLF,Financials,Improving
CINF,101.06277916378876,99.44195561230703,Weakening,N,81.6883457791919,1.9491708559907777,-0.3708873874988059,0.3177807118244027,0.9442968497329114,12.0,0.0004996926914111601,78.18181818181819,2.0,52.0339723294016,5057.0,1.1007194470889248,-0.042144005177124605,0.003916824549739748,0.06144996988849634,52.39195302724035,XLF,Financials,Deteriorating — avoid
KKR,98.73467508965525,100.24584595958753,Improving,S,-92.14653153555984,3.509697485634671,-1.621335743837645,0.36068935746684055,0.9820773921500161,12.0,0.00047858717227555113,76.36363636363636,3.0,51.314071699542474,3126.0,1.0939727184501356,-0.04304093712133273,0.0031755877085083784,0.07738335134091863,52.39195302724035,XLF,Financials,Improving
TROW,101.70567489213997,100.93342435491788,Leading,NE,59.69770173631642,2.1086012957032763,0.49061497306737034,0.07934199186793978,0.984107806239454,11.0,0.00038661843954149167,74.54545454545455,2.0,51.52162439982888,5019.0,1.0495182124543356,-0.03992041071390982,0.0022191626603913807,0.05639331010923269,52.39195302724035,XLF,Financials,Leading
HIG,99.61552861255691,98.78571450725553,Lagging,W,164.21517134555094,1.8791812838173285,-0.46011563140300615,0.5075027801870301,0.5392147777678689,5.0,0.0002850415870759441,72.72727272727273,2.0,54.74203521485613,3799.0,1.1951025171159768,-0.03916009030083728,0.00794956472113745,0.07531105498710511,52.39195302724035,XLF,Financials,Deteriorating — avoid
FIS,98.40409910074253,100.30901759022825,Improving,W,177.09698186910944,11.484137894219712,1.7365750196147118,0.9819310974031846,0.9946006132832913,14.0,0.00011407571683555657,70.9090909090909,3.0,51.314071699542474,3126.0,1.0939727184501356,-0.04304093712133273,0.0031755877085083784,0.07738335134091863,52.39195302724035,XLF,Financials,Improving -> potential leader
AON,99.17662026727005,100.86586286333416,Improving,NE,32.39514524317379,8.42082373023607,2.8371546751602867,0.5651803506624623,0.9558586243307741,4.0,4.4740100620951765e-05,69.0909090909091,3.0,51.314071699542474,3126.0,1.0939727184501356,-0.04304093712133273,0.0031755877085083784,0.07738335134091863,52.39195302724035,XLF,Financials,Improving -> potential leader
L,100.47879984005844,99.0224693342132,Weakening,S,-98.14037313918617,1.825715178942042,0.07095162592290105,0.43126910828254245,0.5972453590145911,13.0,-0.00011607369395455892,67.27272727272727,2.0,52.0339723294016,5057.0,1.1007194470889248,-0.042144005177124605,0.003916824549739748,0.06144996988849634,52.39195302724035,XLF,Financials,Weakening
MA,98.5750121399112,100.61526423223152,Improving,SW,-145.94586322547906,2.4058705025717044,0.6163219248440901,0.3946695613075688,0.6319428449681629,20.0,-0.0001588639703790585,65.45454545454545,2.0,50.613989874964204,4117.0,1.043588286132425,-0.04289469288367565,0.0014352146620201852,0.07132764581930241,52.39195302724035,XLF,Financials,Improving -> potential leader
SCHW,99.54203909563998,99.55938110974152,Lagging,NE,57.31380577164447,0.5685471463100044,-1.2541341317877661,0.5899185712057906,0.9905976339867683,11.0,-0.000164377677044591,63.63636363636363,1.0,54.69122368422876,4971.0,1.1363925556354537,-0.039225039600595486,0.00664501164604108,0.07581563340356608,52.39195302724035,XLF,Financials,Deteriorating — avoid
HBAN,100.14287593645022,99.95016628751381,Weakening,N,78.56583359322244,0.3804354134239067,-1.6550196900148662,0.8374277738429868,0.9751466772239256,17.0,-0.0002779299286837707,61.81818181818182,1.0,51.55686540201258,4036.0,1.0779482407192982,-0.03979480218458575,0.0028212536909354253,0.05708831349916873,52.39195302724035,XLF,Financials,Deteriorating — avoid
AJG,99.29299643973573,100.96659201374528,Improving,W,170.9147756173904,3.2089786202630335,1.3965711283807076,0.42269368520936385,0.7600485623360945,27.0,-0.0003007478255626922,60.0,3.0,51.314071699542474,3126.0,1.0939727184501356,-0.04304093712133273,0.0031755877085083784,0.07738335134091863,52.39195302724035,XLF,Financials,Improving -> potential leader
WFC,99.55832576797047,99.92542253042772,Lagging,N,78.00126594852233,0.6393331935428964,-1.531504062895774,0.8532942027803302,0.9740621479560685,13.0,-0.0004901161252484149,58.18181818181818,1.0,54.69122368422876,4971.0,1.1363925556354537,-0.039225039600595486,0.00664501164604108,0.07581563340356608,52.39195302724035,XLF,Financials,Deteriorating — avoid
V,99.77984654435595,101.41042136702478,Improving,SE,-23.139195508587214,1.1904392274190525,-0.3505902978338151,0.6155314807437431,0.9555732866892721,21.0,-0.0005574365895889445,56.36363636363637,1.0,51.41753025552863,4372.0,1.104584928866809,-0.04049457020075182,0.003306645956797711,0.06473280439591757,52.39195302724035,XLF,Financials,Improving
MRSH,98.90289196032997,99.90008989315626,Lagging,SW,-129.0742983172663,3.38177733059837,0.2283990632311741,0.0352340220313948,0.9714413779505181,10.0,-0.000572982919602256,54.54545454545455,3.0,53.25943617895717,2888.0,1.3037894829349883,-0.04159311951612105,0.009469808744402055,0.08126126281448078,52.39195302724035,XLF,Financials,Lagging
MTB,101.4081914202394,99.68319388869394,Weakening,N,80.41220401749155,1.364871803184432,-1.1878737592410713,0.9555642334636206,0.9931429865568577,15.0,-0.0006740589460727406,52.72727272727273,1.0,51.55686540201258,4036.0,1.0779482407192982,-0.03979480218458575,0.0028212536909354253,0.05708831349916873,52.39195302724035,XLF,Financials,Deteriorating — avoid
PFG,101.64022263620973,98.68335417874259,Weakening,SW,-137.78048456801645,1.7788152770793189,-0.6947536917399968,0.47830312474554154,0.8270087318776402,15.0,-0.0007362553002044897,50.90909090909091,2.0,52.0339723294016,5057.0,1.1007194470889248,-0.042144005177124605,0.003916824549739748,0.06144996988849634,52.39195302724035,XLF,Financials,Deteriorating — avoid
USB,101.35453270300548,99.34001389400379,Weakening,N,79.19762600467003,1.3740119480103117,-0.7456976955264143,0.9758452144843239,0.9907158163145244,19.0,-0.0008384460991909257,49.09090909090909,1.0,51.55686540201258,4036.0,1.0779482407192982,-0.03979480218458575,0.0028212536909354253,0.05708831349916873,52.39195302724035,XLF,Financials,Deteriorating — avoid
CB,100.7960937693472,99.10950074524985,Weakening,S,-94.23991256976453,1.6036956164425316,-0.3637861135732863,0.21166412828088155,0.9281880948810013,11.0,-0.0008684976551313476,47.27272727272727,2.0,52.0339723294016,5057.0,1.1007194470889248,-0.042144005177124605,0.003916824549739748,0.06144996988849634,52.39195302724035,XLF,Financials,Deteriorating — avoid
RJF,99.3825685678837,100.02862827226956,Improving,N,68.11254264331515,1.4291797202349263,-1.004060178903154,0.8945445351187469,0.9295052503039442,1.0,-0.0009871498561500425,45.45454545454545,1.0,51.41753025552863,4372.0,1.104584928866809,-0.04049457020075182,0.003306645956797711,0.06473280439591757,52.39195302724035,XLF,Financials,Improving
AMP,99.88856829832231,100.48853231498408,Improving,NE,39.1044183339423,1.0145088517849221,-0.9817693881416791,0.8799250427058272,0.9423312785988665,4.0,-0.0009905665239519107,43.63636363636363,1.0,51.41753025552863,4372.0,1.104584928866809,-0.04049457020075182,0.003306645956797711,0.06473280439591757,52.39195302724035,XLF,Financials,Improving
MS,101.60530602488743,99.78221261885169,Weakening,SW,-120.66251131930335,6.2336108178909,2.4352653909043744,0.33152595433409016,0.7217932809954827,1.0,-0.0010537150436777157,41.81818181818182,3.0,53.03536360798581,5250.0,1.0468605347091906,-0.04941421422671261,0.004240272210961832,0.07271842815186852,52.39195302724035,XLF,Financials,Weakening
IVZ,101.05322821792194,99.68055874663204,Weakening,E,12.258285904770547,2.700695509031773,1.5807152963516065,0.9648587166377293,0.9817111858316159,37.0,-0.001062531874296021,40.0,3.0,53.03536360798581,5250.0,1.0468605347091906,-0.04941421422671261,0.004240272210961832,0.07271842815186852,52.39195302724035,XLF,Financials,Weakening
PNC,101.45263636008772,99.5533794149237,Weakening,N,71.76921421755992,1.5754912615638057,-0.4690318068176196,0.9859388716417986,0.999130029787566,16.0,-0.001117034699523141,38.18181818181818,2.0,52.0339723294016,5057.0,1.1007194470889248,-0.042144005177124605,0.003916824549739748,0.06144996988849634,52.39195302724035,XLF,Financials,Deteriorating — avoid
JPM,101.7227406007345,101.22930341052005,Leading,NE,51.66385861614722,4.73755099548685,1.7856493133535634,0.9401067718028858,0.9964287326632051,16.0,-0.0012357523841490846,36.36363636363637,3.0,53.09806509342512,5174.0,1.093435132399661,-0.04786042959418279,0.005353631614172257,0.07099083415374112,52.39195302724035,XLF,Financials,Established leader
FITB,101.530777412189,99.65578921911836,Weakening,NE,66.88758665943215,1.6612868260491584,-0.14388270009190807,0.9874419442933785,0.9972442629995658,17.0,-0.0012447457324649158,34.54545454545455,2.0,52.0339723294016,5057.0,1.1007194470889248,-0.042144005177124605,0.003916824549739748,0.06144996988849634,52.39195302724035,XLF,Financials,Deteriorating — avoid
